Nutrient,Min_Val,Max_Val,Min_Val_Risks,Max_Val_Risks
Protein Variant 1,133.54,234.59,Muscle weakness,Diabetes
Vitamin B6 Variant 2,149.08,193.48,Fatigue,Nerve damage
Vitamin B2 Variant 3,164.29,409.82,Poor growth,Hypertension
Artificial Chocolate Flavor Variant 4,106.88,155.27,Poor growth,Hypertension
Taurine Variant 5,88.94,198.43,Muscle weakness,Toxicity
Textured Vegetable Protein Variant 6,175.27,188.63,Muscle weakness,Liver strain
Sucralose Variant 7,45.8,331.8,Poor digestion,Stroke
Phosphorus Variant 8,106.02,396.46,Memory problems,Liver strain
Peanuts Variant 9,96.72,346.82,Anemia,Heart disease
Guar Gum Variant 10,124.27,270.03,Muscle weakness,Heart disease
Artificial Strawberry Flavor Variant 11,142.48,218.39,Poor digestion,Diabetes
Caffeine Variant 12,10.68,229.29,Muscle weakness,Toxicity
Caffeine Variant 13,169.02,410.8,Anemia,Gastro issues
Trans Fat Variant 14,111.53,216.99,Bone weakness,Liver strain
Sucralose Variant 15,186.04,407.05,Low immunity,Kidney damage
Calcium Variant 16,102.34,334.39,Poor digestion,Liver strain
TBHQ (Tertiary Butylhydroquinone) Variant 17,120.83,136.76,Memory problems,Obesity
Vitamin C Variant 18,163.69,436.64,Anemia,Heart disease
Folic Acid Variant 19,47.41,206.47,Memory problems,Hypertension
Omega-6 Variant 20,97.51,166.32,Anemia,Obesity
Propyl Gallate Variant 21,36.68,321.38,Poor growth,Gastro issues
Vitamin A Variant 22,75.7,261.73,Low immunity,Liver strain
Beta-Carotene Variant 23,195.11,384.24,Anemia,Gastro issues
Selenium Variant 24,41.82,100.97,Anemia,Nerve damage
Beta-Carotene Variant 25,145.43,228.97,Fatigue,Hypertension
Selenium Variant 26,54.39,265.05,Anemia,Stroke
Omega-3 Variant 27,57.83,153.31,Poor digestion,Heart disease
Preservatives (Sodium Benzoate) Variant 28,106.78,393.55,Bone weakness,Kidney damage
Milk Powder Variant 29,80.32,238.27,Vision issues,Nerve damage
Vitamin D Variant 30,4.33,242.82,Muscle weakness,Hypertension
High Fructose Corn Syrup Variant 31,16.02,64.99,Bone weakness,Nerve damage
Hydrolyzed Vegetable Protein Variant 32,187.53,205.58,Hormonal imbalance,Obesity
Zinc Variant 33,181.24,223.67,Fatigue,Stroke
Cocoa Powder Variant 34,25.13,132.49,Memory problems,Hypertension
Malic Acid Variant 35,46.42,245.3,Poor digestion,Nerve damage
Manganese Variant 36,39.87,257.39,Anemia,Stroke
Vitamin B6 Variant 37,48.67,235.23,Fatigue,Nerve damage
Potassium Sorbate Variant 38,30.11,146.34,Muscle weakness,Kidney damage
Antioxidants Variant 39,128.2,335.5,Low immunity,Kidney damage
Sugar Variant 40,66.03,357.45,Muscle weakness,Liver strain
Carbohydrates Variant 41,12.1,277.05,Vision issues,Diabetes
Probiotics Variant 42,164.49,376.77,Anemia,Liver strain
Chromium Variant 43,85.17,141.88,Bone weakness,Obesity
Whey Protein Variant 44,93.03,379.23,Vision issues,Stroke
Selenium Variant 45,162.44,356.9,Vision issues,Hypertension
Cocoa Powder Variant 46,126.01,159.09,Memory problems,Liver strain
Phosphorus Variant 47,139.47,193.05,Hormonal imbalance,Liver strain
Omega-6 Variant 48,16.64,253.53,Poor digestion,Heart disease
Coconut Oil Variant 49,120.46,156.88,Muscle weakness,Nerve damage
Vitamin B6 Variant 50,139.25,168.8,Low immunity,Liver strain
Copper Variant 51,115.63,345.51,Muscle weakness,Kidney damage
Iron Variant 52,175.53,261.26,Hormonal imbalance,Heart disease
Beetroot Powder Variant 53,75.34,306.89,Fatigue,Obesity
Lactic Acid Variant 54,13.04,31.21,Memory problems,Obesity
Sodium Nitrite Variant 55,49.95,274.09,Bone weakness,Nerve damage
Caramel Color Variant 56,31.48,269.3,Bone weakness,Diabetes
Copper Variant 57,5.91,176.59,Bone weakness,Hypertension
Chlorella Variant 58,109.91,177.79,Poor digestion,Gastro issues
Pectin Variant 59,192.85,310.73,Poor digestion,Heart disease
Vitamin B2 Variant 60,100.66,266.58,Bone weakness,Hypertension
Artificial Sweeteners Variant 61,90.92,293.1,Memory problems,Hypertension
Chromium Variant 62,92.49,389.34,Poor digestion,Diabetes
Gluten Variant 63,20.96,162.19,Memory problems,Obesity
Dextrose Variant 64,180.34,431.6,Memory problems,Kidney damage
Iron Variant 65,28.65,168.03,Poor growth,Stroke
Phosphorus Variant 66,27.01,248.14,Fatigue,Gastro issues
MSG (Monosodium Glutamate) Variant 67,8.47,250.3,Memory problems,Kidney damage
Malic Acid Variant 68,75.4,108.48,Anemia,Toxicity
Lactic Acid Variant 69,51.32,342.38,Low immunity,Heart disease
Casein Variant 70,82.63,229.53,Hormonal imbalance,Heart disease
Maltodextrin Variant 71,12.05,182.99,Memory problems,Liver strain
Gelatin Variant 72,171.33,260.09,Fatigue,Nerve damage
Vitamin B12 Variant 73,165.98,400.43,Poor digestion,Diabetes
Vitamin B6 Variant 74,12.25,147.7,Low immunity,Toxicity
BHA (Butylated Hydroxyanisole) Variant 75,18.42,104.12,Muscle weakness,Kidney damage
Antioxidants Variant 76,163.99,270.8,Vision issues,Gastro issues
Potassium Sorbate Variant 77,183.64,315.66,Memory problems,Gastro issues
Salt (Sodium) Variant 78,141.74,417.61,Bone weakness,Heart disease
Magnesium Variant 79,47.87,250.38,Low immunity,Nerve damage
Pectin Variant 80,192.58,252.48,Vision issues,Heart disease
Gelatin Variant 81,66.48,186.99,Low immunity,Obesity
Gelatin Variant 82,100.67,380.21,Hormonal imbalance,Obesity
Zinc Variant 83,156.16,202.51,Low immunity,Kidney damage
Sodium Sorbate Variant 84,72.41,295.16,Hormonal imbalance,Toxicity
Annatto Variant 85,128.51,375.54,Fatigue,Stroke
Tartaric Acid Variant 86,158.79,341.56,Hormonal imbalance,Gastro issues
Carbohydrates Variant 87,132.58,142.96,Hormonal imbalance,Hypertension
Vitamin B2 Variant 88,140,386.54,Fatigue,Hypertension
Stevia Variant 89,41.03,203.07,Vision issues,Obesity
Dextrose Variant 90,7.39,30.98,Hormonal imbalance,Kidney damage
Sodium Nitrate Variant 91,183.24,283.38,Fatigue,Heart disease
Potassium Variant 92,131.3,202.33,Fatigue,Kidney damage
Fiber Variant 93,128.69,362.19,Anemia,Heart disease
Erythritol Variant 94,73.72,180.67,Bone weakness,Toxicity
Vitamin B3 (Niacin) Variant 95,185.46,360.32,Hormonal imbalance,Toxicity
Peanuts Variant 96,105.39,283.64,Anemia,Stroke
Artificial Vanilla Flavor Variant 97,158.69,369.31,Fatigue,Hypertension
Copper Variant 98,19.57,79.98,Vision issues,Nerve damage
Sugar Variant 99,45.93,301.09,Muscle weakness,Toxicity
Annatto Variant 100,163.75,223.55,Vision issues,Nerve damage
Calcium Variant 101,86.97,214.29,Poor growth,Heart disease
Tartaric Acid Variant 102,134.18,314.64,Poor digestion,Gastro issues
Calcium Variant 103,31.76,325.46,Low immunity,Liver strain
Casein Variant 104,77.69,146.32,Vision issues,Heart disease
Vitamin D Variant 105,14.23,146.78,Poor growth,Obesity
Benzoic Acid Variant 106,45.14,109.21,Memory problems,Liver strain
Salt (Sodium) Variant 107,17.33,102.12,Low immunity,Kidney damage
Folic Acid Variant 108,58.62,239.2,Low immunity,Stroke
Almonds Variant 109,47.8,172.13,Anemia,Gastro issues
Chromium Variant 110,157.48,330.44,Anemia,Gastro issues
Folic Acid Variant 111,18.43,209.25,Poor growth,Liver strain
Vanillin Variant 112,28.55,260.56,Bone weakness,Kidney damage
Milk Powder Variant 113,125.04,357,Anemia,Heart disease
Pectin Variant 114,190.16,224.43,Muscle weakness,Diabetes
BHT (Butylated Hydroxytoluene) Variant 115,47.95,165.67,Hormonal imbalance,Liver strain
Salt (Sodium) Variant 116,190.96,441.9,Anemia,Nerve damage
Pectin Variant 117,89.34,321.76,Muscle weakness,Heart disease
Vitamin B12 Variant 118,194.04,467.06,Vision issues,Stroke
Sodium Sorbate Variant 119,178.51,189.3,Poor digestion,Kidney damage
Gluten Variant 120,188.74,254.98,Low immunity,Hypertension
Sorbitol Variant 121,148.41,413.6,Anemia,Gastro issues
Aspartame Variant 122,37.08,222.14,Poor digestion,Toxicity
Stevia Variant 123,76.08,88.23,Fatigue,Toxicity
Acetic Acid Variant 124,22.82,308.94,Vision issues,Nerve damage
Guar Gum Variant 125,44.83,71.47,Poor growth,Heart disease
Saturated Fat Variant 126,194.91,349.3,Hormonal imbalance,Obesity
Caramel Color Variant 127,85.44,202,Bone weakness,Stroke
Artificial Sweeteners Variant 128,15.84,236.85,Memory problems,Toxicity
Vitamin B6 Variant 129,72.31,221.4,Vision issues,Heart disease
Erythritol Variant 130,31.28,226.67,Muscle weakness,Obesity
Vitamin C Variant 131,57.43,328.55,Memory problems,Nerve damage
Caffeine Variant 132,181.19,234.92,Vision issues,Gastro issues
Lactose Variant 133,101.35,205.1,Bone weakness,Nerve damage
Aspartame Variant 134,17.89,188.72,Poor digestion,Stroke
Citric Acid Variant 135,33.71,47.61,Anemia,Stroke
Caffeine Variant 136,164.28,193.63,Hormonal imbalance,Nerve damage
Phosphorus Variant 137,156.89,394.28,Muscle weakness,Liver strain
Trans Fat Variant 138,39.4,271.48,Fatigue,Gastro issues
Copper Variant 139,169.59,449.26,Anemia,Stroke
Stevia Variant 140,113.24,167.91,Anemia,Hypertension
Vitamin B3 Variant 141,121.19,235.05,Vision issues,Toxicity
Iron Variant 142,150.68,256.63,Muscle weakness,Diabetes
Magnesium Variant 143,60.86,185.45,Hormonal imbalance,Liver strain
Sorbitol Variant 144,189.41,234.96,Low immunity,Heart disease
Selenium Variant 145,178.58,208.9,Anemia,Gastro issues
Magnesium Variant 146,31.62,162.65,Memory problems,Nerve damage
Fumaric Acid Variant 147,164.44,317.13,Memory problems,Hypertension
Textured Vegetable Protein Variant 148,11.58,244.35,Bone weakness,Kidney damage
MSG (Monosodium Glutamate) Variant 149,178.7,333.9,Bone weakness,Heart disease
Vitamin C Variant 150,104.63,179.04,Anemia,Kidney damage
Vitamin B1 (Thiamine) Variant 151,176.91,403.59,Vision issues,Nerve damage
Yeast Extract Variant 152,183.55,351.33,Poor growth,Heart disease
Antioxidants Variant 153,197.76,473.88,Vision issues,Nerve damage
Pectin Variant 154,53.49,315.18,Fatigue,Liver strain
BHA (Butylated Hydroxyanisole) Variant 155,107.45,152.92,Low immunity,Obesity
Omega-6 Fatty Acids Variant 156,91.36,156.6,Fatigue,Liver strain
Iron Variant 157,48.58,311.2,Vision issues,Toxicity
Copper Variant 158,92.86,323.43,Hormonal imbalance,Heart disease
Vitamin K Variant 159,118.73,273.34,Muscle weakness,Nerve damage
Artificial Vanilla Flavor Variant 160,124.47,265.13,Vision issues,Heart disease
Vitamin C Variant 161,71.25,205.12,Hormonal imbalance,Kidney damage
Rice Flour Variant 162,158.64,316.48,Memory problems,Obesity
Chlorella Variant 163,95.38,221.34,Bone weakness,Gastro issues
Vitamin B12 Variant 164,34.56,207.09,Muscle weakness,Kidney damage
Gelatin Variant 165,57.07,209.38,Fatigue,Gastro issues
Propyl Gallate Variant 166,151.02,347.52,Fatigue,Hypertension
Vitamin B12 Variant 167,33.2,99.86,Fatigue,Kidney damage
Vitamin C Variant 168,48.75,169.82,Anemia,Heart disease
Vitamin A Variant 169,184.49,458.84,Poor digestion,Liver strain
Iron Variant 170,19.87,252.12,Poor growth,Diabetes
Sucralose Variant 171,68.32,103.18,Poor digestion,Hypertension
Salt (Sodium) Variant 172,162.87,404.09,Bone weakness,Diabetes
Phosphorus Variant 173,153.4,197.54,Muscle weakness,Heart disease
MSG (Monosodium Glutamate) Variant 174,83.29,346.08,Memory problems,Hypertension
Sugar Variant 175,88.77,169.77,Hormonal imbalance,Kidney damage
Preservatives (Sodium Benzoate) Variant 176,48.98,289.03,Fatigue,Obesity
Lactic Acid Variant 177,193.5,358.8,Hormonal imbalance,Toxicity
Vitamin K Variant 178,171.66,406.73,Vision issues,Hypertension
Zinc Variant 179,184.92,200.71,Bone weakness,Kidney damage
Carrageenan Variant 180,140.51,356.08,Low immunity,Kidney damage
Calcium Propionate Variant 181,129.32,329.87,Hormonal imbalance,Heart disease
Annatto Variant 182,32.95,263.78,Vision issues,Diabetes
Sorbitol Variant 183,25.3,203.63,Muscle weakness,Kidney damage
Zinc Variant 184,147.1,430.4,Fatigue,Stroke
Selenium Variant 185,10.75,47.29,Low immunity,Nerve damage
Artificial Vanilla Flavor Variant 186,16.02,238.7,Hormonal imbalance,Gastro issues
Fluoride Variant 187,155.77,253.98,Anemia,Gastro issues
Chlorella Variant 188,121.52,270.95,Anemia,Diabetes
